t,src,ideal_pos,cheap_pos,ideal_vel,cheap_vel
0.0444,state,0.439781,0.404431,0.132747,0.293253
0.0446,state,0.446309,0.408528,0.304939,0.017052
0.0447,state,0.451546,0.408570,0.107753,0.016992
0.0509,state,0.426562,0.388409,0.170342,0.014434
0.0515,desired,0.473333,0.473333,0.111111,0.111111
0.0610,state,0.428615,0.388342,0.092605,0.014518
0.0709,state,0.439781,0.404431,0.132747,0.293253
0.0810,state,0.446309,0.408528,0.304939,0.017052
0.0815,desired,0.476668,0.476668,0.111111,0.111111
0.0909,state,0.451546,0.408570,0.107753,0.016992
0.0933,state,0.460590,0.418720,0.185985,0.311462
0.1009,state,0.428615,0.388342,0.092605,0.014518
0.1109,state,0.439781,0.404431,0.132747,0.293253
0.1115,desired,0.479999,0.479999,0.111111,0.111111
0.1209,state,0.446309,0.408528,0.304939,0.017052
0.1310,state,0.451546,0.408570,0.107753,0.016992
0.1410,state,0.460590,0.418720,0.185985,0.311462
0.1416,desired,0.483335,0.483335,0.111111,0.111111
0.1510,state,0.428615,0.388342,0.092605,0.014518
0.1610,state,0.439781,0.404431,0.132747,0.293253
0.1710,state,0.446309,0.408528,0.304939,0.017052
0.1719,desired,0.486668,0.486668,0.111111,0.111111
0.1811,state,0.451546,0.408570,0.107753,0.016992
0.1912,state,0.460590,0.418720,0.185985,0.311462
0.1920,desired,0.488893,0.488893,0.111111,0.111111
0.1945,state,0.462867,0.429442,0.099740,0.062201
0.1959,state,0.473051,0.429571,0.134922,0.018763
0.2011,state,0.446309,0.408528,0.304939,0.017052
0.2110,state,0.451546,0.408570,0.107753,0.016992
0.2210,state,0.460590,0.418720,0.185985,0.311462
0.2216,desired,0.492221,0.492221,0.111111,0.111111
0.2310,state,0.462867,0.429442,0.099740,0.062201
0.2410,state,0.473051,0.429571,0.134922,0.018763
0.2510,state,0.446309,0.408528,0.304939,0.017052
0.2521,desired,0.495555,0.495555,0.111111,0.111111
0.2611,state,0.451546,0.408570,0.107753,0.016992
0.2711,state,0.460590,0.418720,0.185985,0.311462
0.2725,desired,0.497779,0.497779,0.111111,0.111111
0.2811,state,0.462867,0.429442,0.099740,0.062201
0.2911,state,0.473051,0.429571,0.134922,0.018763
0.2926,desired,0.500002,0.500002,0.111111,0.111111
0.2953,state,0.479485,0.433707,0.310842,0.223385
0.2963,state,0.484717,0.449256,0.113840,0.221490
0.3011,state,0.460590,0.418720,0.185985,0.311462
0.3110,state,0.462867,0.429442,0.099740,0.062201
0.3211,state,0.473051,0.429571,0.134922,0.018763
0.3225,desired,0.503335,0.503335,0.111111,0.111111
0.3310,state,0.479485,0.433707,0.310842,0.223385
0.3410,state,0.484717,0.449256,0.113840,0.221490
0.3510,state,0.460590,0.418720,0.185985,0.311462
0.3517,desired,0.506667,0.506667,0.111111,0.111111
0.3611,state,0.462867,0.429442,0.099740,0.062201
0.3711,state,0.473051,0.429571,0.134922,0.018763
0.3719,desired,0.508891,0.508891,0.111111,0.111111
0.3811,state,0.479485,0.433707,0.310842,0.223385
0.3910,state,0.484717,0.449256,0.113840,0.221490
0.3931,state,0.492900,0.450744,0.182618,0.020404
0.4010,state,0.462867,0.429442,0.099740,0.062201
0.4018,desired,0.512223,0.512223,0.111111,0.111111
0.4110,state,0.473051,0.429571,0.134922,0.018763
0.4209,state,0.479485,0.433707,0.310842,0.223385
0.4309,state,0.484717,0.449256,0.113840,0.221490
0.4315,desired,0.515553,0.515553,0.111111,0.111111
0.4410,state,0.492900,0.450744,0.182618,0.020404
0.4510,state,0.462867,0.429442,0.099740,0.062201
0.4516,desired,0.517777,0.517777,0.111111,0.111111
0.4610,state,0.473051,0.429571,0.134922,0.018763
0.4709,state,0.479485,0.433707,0.310842,0.223385
0.4810,state,0.484717,0.449256,0.113840,0.221490
0.4816,desired,0.521111,0.521111,0.111111,0.111111
0.4910,state,0.492900,0.450744,0.182618,0.020404
0.4924,state,0.494953,0.450891,0.104846,0.020179
0.4930,state,0.506117,0.466065,0.144918,0.290813
0.5010,state,0.479485,0.433707,0.310842,0.223385
0.5110,state,0.484717,0.449256,0.113840,0.221490
0.5116,desired,0.524444,0.524444,0.111111,0.111111
0.5210,state,0.492900,0.450744,0.182618,0.020404
0.5309,state,0.494953,0.450891,0.104846,0.020179
0.5410,state,0.506117,0.466065,0.144918,0.290813
0.5419,desired,0.527780,0.527780,0.111111,0.111111
0.5509,state,0.479485,0.433707,0.310842,0.223385
0.5610,state,0.484717,0.449256,0.113840,0.221490
0.5710,state,0.492900,0.450744,0.182618,0.020404
0.5716,desired,0.531110,0.531110,0.111111,0.111111
0.5810,state,0.494953,0.450891,0.104846,0.020179
0.5910,state,0.506117,0.466065,0.144918,0.290813
0.5916,desired,0.533334,0.533334,0.111111,0.111111
0.5946,state,0.512646,0.473157,0.317154,0.081990
0.5951,state,0.517886,0.473375,0.119865,0.021633
0.6011,state,0.492900,0.450744,0.182618,0.020404
0.6110,state,0.494953,0.450891,0.104846,0.020179
0.6210,state,0.506117,0.466065,0.144918,0.290813
0.6219,desired,0.536668,0.536668,0.111111,0.111111
0.6309,state,0.512646,0.473157,0.317154,0.081990
0.6409,state,0.517886,0.473375,0.119865,0.021633
0.6510,state,0.492900,0.450744,0.182618,0.020404
0.6516,desired,0.539999,0.539999,0.111111,0.111111
0.6610,state,0.494953,0.450891,0.104846,0.020179
0.6710,state,0.506117,0.466065,0.144918,0.290813
0.6810,state,0.512646,0.473157,0.317154,0.081990
0.6816,desired,0.543333,0.543333,0.111111,0.111111
