t,src,ideal_pos,cheap_pos,ideal_vel,cheap_vel
0.0466,state,0.392544,0.365446,0.070294,0.010272
0.0468,state,0.382346,0.355626,0.035761,-0.047374
0.0469,state,0.375911,0.350466,-0.140148,-0.233180
0.0520,state,0.370681,0.344483,0.056785,0.006187
0.0620,state,0.361638,0.335362,-0.021504,-0.194013
0.0628,desired,0.337780,0.337780,-0.111111,-0.111111
0.0636,state,0.359362,0.333757,0.064691,0.009233
0.0644,state,0.349184,0.323292,0.029456,-0.046473
0.0720,state,0.375911,0.350466,-0.140148,-0.233180
0.0820,state,0.370681,0.344483,0.056785,0.006187
0.0920,state,0.361638,0.335362,-0.021504,-0.194013
0.0926,desired,0.334444,0.334444,-0.111111,-0.111111
0.1020,state,0.359362,0.333757,0.064691,0.009233
0.1121,state,0.349184,0.323292,0.029456,-0.046473
0.1220,state,0.375911,0.350466,-0.140148,-0.233180
0.1226,desired,0.331114,0.331114,-0.111111,-0.111111
0.1320,state,0.370681,0.344483,0.056785,0.006187
0.1421,state,0.361638,0.335362,-0.021504,-0.194013
0.1427,desired,0.328890,0.328890,-0.111111,-0.111111
0.1521,state,0.359362,0.333757,0.064691,0.009233
0.1621,state,0.349184,0.323292,0.029456,-0.046473
0.1639,state,0.342751,0.318099,-0.146513,-0.236359
0.1647,state,0.337522,0.312429,0.050384,0.005510
0.1721,state,0.361638,0.335362,-0.021504,-0.194013
0.1730,desired,0.325555,0.325555,-0.111111,-0.111111
0.1821,state,0.359362,0.333757,0.064691,0.009233
0.1921,state,0.349184,0.323292,0.029456,-0.046473
0.2020,state,0.342751,0.318099,-0.146513,-0.236359
0.2027,desired,0.322224,0.322224,-0.111111,-0.111111
0.2121,state,0.337522,0.312429,0.050384,0.005510
0.2221,state,0.361638,0.335362,-0.021504,-0.194013
0.2229,desired,0.320000,0.320000,-0.111111,-0.111111
0.2321,state,0.359362,0.333757,0.064691,0.009233
0.2420,state,0.349184,0.323292,0.029456,-0.046473
0.2521,state,0.342751,0.318099,-0.146513,-0.236359
0.2530,desired,0.316666,0.316666,-0.111111,-0.111111
0.2621,state,0.337522,0.312429,0.050384,0.005510
0.2650,state,0.328476,0.303078,-0.027948,-0.197090
0.2720,state,0.359362,0.333757,0.064691,0.009233
0.2821,state,0.349184,0.323292,0.029456,-0.046473
0.2829,desired,0.313333,0.313333,-0.111111,-0.111111
0.2921,state,0.342751,0.318099,-0.146513,-0.236359
0.3020,state,0.337522,0.312429,0.050384,0.005510
0.3121,state,0.328476,0.303078,-0.027948,-0.197090
0.3129,desired,0.310002,0.310002,-0.111111,-0.111111
0.3221,state,0.359362,0.333757,0.064691,0.009233
0.3326,desired,0.307779,0.307779,-0.111111,-0.111111
0.3329,state,0.349184,0.323292,0.029456,-0.046473
0.3420,state,0.342751,0.318099,-0.146513,-0.236359
0.3521,state,0.337522,0.312429,0.050384,0.005510
0.3527,desired,0.305555,0.305555,-0.111111,-0.111111
0.3623,state,0.328476,0.303078,-0.027948,-0.197090
0.3642,state,0.326200,0.301651,0.058259,0.008078
0.3645,state,0.316021,0.291240,0.023005,-0.037867
0.3722,state,0.342751,0.318099,-0.146513,-0.236359
0.3822,state,0.337522,0.312429,0.050384,0.005510
0.3830,desired,0.302222,0.302222,-0.111111,-0.111111
0.3921,state,0.328476,0.303078,-0.027948,-0.197090
0.4021,state,0.326200,0.301651,0.058259,0.008078
0.4121,state,0.316021,0.291240,0.023005,-0.037867
0.4130,desired,0.298891,0.298891,-0.111111,-0.111111
0.4221,state,0.342751,0.318099,-0.146513,-0.236359
0.4320,state,0.337522,0.312429,0.050384,0.005510
0.4421,state,0.328476,0.303078,-0.027948,-0.197090
0.4427,desired,0.295555,0.295555,-0.111111,-0.111111
0.4521,state,0.326200,0.301651,0.058259,0.008078
0.4621,state,0.316021,0.291240,0.023005,-0.037867
0.4642,state,0.309589,0.285892,-0.152982,-0.246403
0.4664,state,0.304360,0.280423,0.043906,0.004789
0.4724,desired,0.292224,0.292224,-0.111111,-0.111111
0.4727,state,0.328476,0.303078,-0.027948,-0.197090
0.4821,state,0.326200,0.301651,0.058259,0.008078
0.4921,state,0.316021,0.291240,0.023005,-0.037867
0.4928,desired,0.289997,0.289997,-0.111111,-0.111111
0.5020,state,0.309589,0.285892,-0.152982,-0.246403
0.5121,state,0.304360,0.280423,0.043906,0.004789
0.5221,state,0.328476,0.303078,-0.027948,-0.197090
0.5227,desired,0.286669,0.286669,-0.111111,-0.111111
0.5321,state,0.326200,0.301651,0.058259,0.008078
0.5421,state,0.316021,0.291240,0.023005,-0.037867
0.5427,desired,0.284444,0.284444,-0.111111,-0.111111
0.5521,state,0.309589,0.285892,-0.152982,-0.246403
0.5621,state,0.304360,0.280423,0.043906,0.004789
0.5635,state,0.295319,0.270901,-0.034384,-0.198231
0.5720,state,0.326200,0.301651,0.058259,0.008078
0.5726,desired,0.281113,0.281113,-0.111111,-0.111111
0.5821,state,0.316021,0.291240,0.023005,-0.037867
0.5921,state,0.309589,0.285892,-0.152982,-0.246403
0.5927,desired,0.278886,0.278886,-0.111111,-0.111111
0.6021,state,0.304360,0.280423,0.043906,0.004789
0.6120,state,0.295319,0.270901,-0.034384,-0.198231
0.6221,state,0.326200,0.301651,0.058259,0.008078
0.6227,desired,0.275552,0.275552,-0.111111,-0.111111
0.6321,state,0.316021,0.291240,0.023005,-0.037867
0.6420,state,0.309589,0.285892,-0.152982,-0.246403
0.6521,state,0.304360,0.280423,0.043906,0.004789
0.6526,desired,0.272222,0.272222,-0.111111,-0.111111
0.6621,state,0.295319,0.270901,-0.034384,-0.198231
0.6641,state,0.293045,0.269706,0.051760,0.006926
0.6654,state,0.282866,0.259317,0.016487,-0.028045
0.6721,state,0.309589,0.285892,-0.152982,-0.246403
0.6826,desired,0.268891,0.268891,-0.111111,-0.111111
0.6828,state,0.304360,0.280423,0.043906,0.004789
0.6920,state,0.295319,0.270901,-0.034384,-0.198231
0.7021,state,0.293045,0.269706,0.051760,0.006926
0.7026,desired,0.266668,0.266668,-0.111111,-0.111111
0.7120,state,0.282866,0.259317,0.016487,-0.028045
0.7221,state,0.309589,0.285892,-0.152982,-0.246403
0.7321,state,0.304360,0.280423,0.043906,0.004789
0.7329,desired,0.263336,0.263336,-0.111111,-0.111111
0.7420,state,0.295319,0.270901,-0.034384,-0.198231
0.7520,state,0.293045,0.269706,0.051760,0.006926
0.7526,desired,0.261113,0.261113,-0.111111,-0.111111
0.7620,state,0.282866,0.259317,0.016487,-0.028045
0.7632,state,0.276432,0.253814,-0.159550,-0.256495
0.7641,state,0.271203,0.248626,0.037360,0.004151
0.7720,state,0.295319,0.270901,-0.034384,-0.198231
0.7825,desired,0.257781,0.257781,-0.111111,-0.111111
0.7827,state,0.293045,0.269706,0.051760,0.006926
0.7921,state,0.282866,0.259317,0.016487,-0.028045
0.8020,state,0.276432,0.253814,-0.159550,-0.256495
0.8027,desired,0.255557,0.255557,-0.111111,-0.111111
0.8121,state,0.271203,0.248626,0.037360,0.004151
0.8226,desired,0.253334,0.253334,-0.111111,-0.111111
0.8230,state,0.295319,0.270901,-0.034384,-0.198231
0.8321,state,0.293045,0.269706,0.051760,0.006926
0.8420,state,0.282866,0.259317,0.016487,-0.028045
0.8520,state,0.276432,0.253814,-0.159550,-0.256495
