t,src,ideal_pos,cheap_pos,ideal_vel,cheap_vel
0.0470,state,0.370414,0.341323,0.066817,0.015141
0.0472,state,0.360234,0.341441,0.031582,0.015600
0.0474,state,0.386963,0.366570,-0.138030,-0.009322
0.0555,desired,0.341110,0.341110,-0.111111,-0.111111
0.0557,state,0.381732,0.358214,0.058901,-0.178590
0.0650,state,0.372689,0.345018,-0.019383,-0.222638
0.0750,state,0.370414,0.341323,0.066817,0.015141
0.0850,state,0.360234,0.341441,0.031582,0.015600
0.0854,desired,0.337775,0.337775,-0.111111,-0.111111
0.0863,state,0.353801,0.336758,-0.144387,-0.227449
0.0872,state,0.348571,0.318764,0.052525,-0.220627
0.0950,state,0.372689,0.345018,-0.019383,-0.222638
0.1056,desired,0.335548,0.335548,-0.111111,-0.111111
0.1058,state,0.370414,0.341323,0.066817,0.015141
0.1150,state,0.360234,0.341441,0.031582,0.015600
0.1250,state,0.353801,0.336758,-0.144387,-0.227449
0.1357,desired,0.332218,0.332218,-0.111111,-0.111111
0.1360,state,0.348571,0.318764,0.052525,-0.220627
0.1450,state,0.372689,0.345018,-0.019383,-0.222638
0.1550,state,0.370414,0.341323,0.066817,0.015141
0.1654,desired,0.328887,0.328887,-0.111111,-0.111111
0.1657,state,0.360234,0.341441,0.031582,0.015600
0.1751,state,0.353801,0.336758,-0.144387,-0.227449
0.1852,state,0.348571,0.318764,0.052525,-0.220627
0.1874,state,0.339528,0.316914,-0.025777,0.014433
0.1957,desired,0.325551,0.325551,-0.111111,-0.111111
0.1960,state,0.370414,0.341323,0.066817,0.015141
0.2050,state,0.360234,0.341441,0.031582,0.015600
0.2150,state,0.353801,0.336758,-0.144387,-0.227449
0.2256,desired,0.322218,0.322218,-0.111111,-0.111111
0.2259,state,0.348571,0.318764,0.052525,-0.220627
0.2351,state,0.339528,0.316914,-0.025777,0.014433
0.2451,state,0.370414,0.341323,0.066817,0.015141
0.2550,state,0.360234,0.341441,0.031582,0.015600
0.2555,desired,0.318888,0.318888,-0.111111,-0.111111
0.2651,state,0.353801,0.336758,-0.144387,-0.227449
0.2750,state,0.348571,0.318764,0.052525,-0.220627
0.2856,desired,0.315554,0.315554,-0.111111,-0.111111
0.2860,state,0.339528,0.316914,-0.025777,0.014433
0.2875,state,0.337252,0.317030,0.060413,0.014610
0.2882,state,0.327072,0.302099,0.025156,-0.262168
0.2950,state,0.353801,0.336758,-0.144387,-0.227449
0.3050,state,0.348571,0.318764,0.052525,-0.220627
0.3154,desired,0.312221,0.312221,-0.111111,-0.111111
0.3156,state,0.339528,0.316914,-0.025777,0.014433
0.3250,state,0.337252,0.317030,0.060413,0.014610
0.3356,desired,0.309996,0.309996,-0.111111,-0.111111
0.3360,state,0.327072,0.302099,0.025156,-0.262168
0.3450,state,0.353801,0.336758,-0.144387,-0.227449
0.3550,state,0.348571,0.318764,0.052525,-0.220627
0.3656,desired,0.306663,0.306663,-0.111111,-0.111111
0.3660,state,0.339528,0.316914,-0.025777,0.014433
0.3751,state,0.337252,0.317030,0.060413,0.014610
0.3857,desired,0.304440,0.304440,-0.111111,-0.111111
0.3860,state,0.327072,0.302099,0.025156,-0.262168
0.3887,state,0.320640,0.296959,-0.150786,0.012152
0.3896,state,0.315412,0.297104,0.046077,0.014356
0.3950,state,0.339528,0.316914,-0.025777,0.014433
0.4051,state,0.337252,0.317030,0.060413,0.014610
0.4156,desired,0.301107,0.301107,-0.111111,-0.111111
0.4159,state,0.327072,0.302099,0.025156,-0.262168
0.4251,state,0.320640,0.296959,-0.150786,0.012152
0.4350,state,0.315412,0.297104,0.046077,0.014356
0.4454,desired,0.297776,0.297776,-0.111111,-0.111111
0.4456,state,0.339528,0.316914,-0.025777,0.014433
0.4550,state,0.337252,0.317030,0.060413,0.014610
0.4656,desired,0.295551,0.295551,-0.111111,-0.111111
0.4660,state,0.327072,0.302099,0.025156,-0.262168
0.4750,state,0.320640,0.296959,-0.150786,0.012152
0.4851,state,0.315412,0.297104,0.046077,0.014356
0.4869,state,0.306367,0.286133,-0.032255,-0.310724
0.4954,desired,0.292221,0.292221,-0.111111,-0.111111
0.4956,state,0.337252,0.317030,0.060413,0.014610
0.5051,state,0.327072,0.302099,0.025156,-0.262168
0.5150,state,0.320640,0.296959,-0.150786,0.012152
0.5255,desired,0.288887,0.288887,-0.111111,-0.111111
0.5257,state,0.315412,0.297104,0.046077,0.014356
0.5352,state,0.306367,0.286133,-0.032255,-0.310724
0.5450,state,0.337252,0.317030,0.060413,0.014610
0.5554,desired,0.285554,0.285554,-0.111111,-0.111111
0.5557,state,0.327072,0.302099,0.025156,-0.262168
0.5652,state,0.320640,0.296959,-0.150786,0.012152
0.5757,desired,0.283330,0.283330,-0.111111,-0.111111
0.5760,state,0.315412,0.297104,0.046077,0.014356
0.5852,state,0.306367,0.286133,-0.032255,-0.310724
0.5874,state,0.304092,0.274278,0.053931,-0.042242
0.5890,state,0.293915,0.274366,0.018672,0.014011
0.5956,desired,0.281107,0.281107,-0.111111,-0.111111
0.5960,state,0.320640,0.296959,-0.150786,0.012152
0.6051,state,0.315412,0.297104,0.046077,0.014356
0.6150,state,0.306367,0.286133,-0.032255,-0.310724
0.6250,state,0.304092,0.274278,0.053931,-0.042242
0.6257,desired,0.277776,0.277776,-0.111111,-0.111111
0.6351,state,0.293915,0.274366,0.018672,0.014011
0.6450,state,0.320640,0.296959,-0.150786,0.012152
0.6550,state,0.315412,0.297104,0.046077,0.014356
0.6557,desired,0.274443,0.274443,-0.111111,-0.111111
0.6651,state,0.306367,0.286133,-0.032255,-0.310724
0.6750,state,0.304092,0.274278,0.053931,-0.042242
0.6851,state,0.293915,0.274366,0.018672,0.014011
0.6861,desired,0.271108,0.271108,-0.111111,-0.111111
0.6873,state,0.287481,0.270232,-0.157362,-0.204521
0.6887,state,0.282252,0.253791,0.039548,-0.200673
0.6952,state,0.306367,0.286133,-0.032255,-0.310724
0.7050,state,0.304092,0.274278,0.053931,-0.042242
0.7150,state,0.293915,0.274366,0.018672,0.014011
0.7156,desired,0.267776,0.267776,-0.111111,-0.111111
0.7251,state,0.287481,0.270232,-0.157362,-0.204521
0.7350,state,0.282252,0.253791,0.039548,-0.200673
0.7456,desired,0.264440,0.264440,-0.111111,-0.111111
0.7459,state,0.306367,0.286133,-0.032255,-0.310724
0.7550,state,0.304092,0.274278,0.053931,-0.042242
0.7651,state,0.293915,0.274366,0.018672,0.014011
0.7750,state,0.287481,0.270232,-0.157362,-0.204521
0.7756,desired,0.261109,0.261109,-0.111111,-0.111111
0.7851,state,0.282252,0.253791,0.039548,-0.200673
0.7880,state,0.273211,0.253040,-0.038755,0.013385
0.7957,desired,0.258886,0.258886,-0.111111,-0.111111
0.7961,state,0.304092,0.274278,0.053931,-0.042242
0.8051,state,0.293915,0.274366,0.018672,0.014011
0.8150,state,0.287481,0.270232,-0.157362,-0.204521
0.8250,state,0.282252,0.253791,0.039548,-0.200673
0.8256,desired,0.255554,0.255554,-0.111111,-0.111111
0.8351,state,0.273211,0.253040,-0.038755,0.013385
0.8450,state,0.304092,0.274278,0.053931,-0.042242
0.8551,state,0.293915,0.274366,0.018672,0.014011
0.8559,desired,0.252218,0.252218,-0.111111,-0.111111
0.8650,state,0.287481,0.270232,-0.157362,-0.204521
0.8751,state,0.282252,0.253791,0.039548,-0.200673
0.8854,desired,0.248887,0.248887,-0.111111,-0.111111
0.8857,state,0.273211,0.253040,-0.038755,0.013385
0.8869,state,0.270937,0.253234,0.047387,0.013305
0.8872,state,0.260758,0.236317,0.012106,-0.287648
0.8951,state,0.287481,0.270232,-0.157362,-0.204521
0.9051,state,0.282252,0.253791,0.039548,-0.200673
0.9155,desired,0.245552,0.245552,-0.111111,-0.111111
0.9157,state,0.273211,0.253040,-0.038755,0.013385
0.9250,state,0.270937,0.253234,0.047387,0.013305
0.9351,state,0.260758,0.236317,0.012106,-0.287648
0.9457,desired,0.242218,0.242218,-0.111111,-0.111111
0.9460,state,0.287481,0.270232,-0.157362,-0.204521
0.9550,state,0.282252,0.253791,0.039548,-0.200673
0.9650,state,0.273211,0.253040,-0.038755,0.013385
0.9753,desired,0.238886,0.238886,-0.111111,-0.111111
0.9755,state,0.270937,0.253234,0.047387,0.013305
0.9850,state,0.260758,0.236317,0.012106,-0.287648
0.9861,state,0.254326,0.231273,-0.163919,0.011010
0.9868,state,0.249097,0.231480,0.032963,0.012698
0.9950,state,0.273211,0.253040,-0.038755,0.013385
1.0054,desired,0.235555,0.235555,-0.111111,-0.111111
1.0055,state,0.270937,0.253234,0.047387,0.013305
1.0150,state,0.260758,0.236317,0.012106,-0.287648
1.0250,state,0.254326,0.231273,-0.163919,0.011010
1.0354,desired,0.232221,0.232221,-0.111111,-0.111111
1.0357,state,0.249097,0.231480,0.032963,0.012698
1.0450,state,0.273211,0.253040,-0.038755,0.013385
1.0550,state,0.270937,0.253234,0.047387,0.013305
1.0655,desired,0.228887,0.228887,-0.111111,-0.111111
1.0657,state,0.260758,0.236317,0.012106,-0.287648
1.0750,state,0.254326,0.231273,-0.163919,0.011010
1.0851,state,0.249097,0.231480,0.032963,0.012698
1.0866,state,0.240055,0.220639,-0.045364,-0.309838
1.0955,desired,0.225550,0.225550,-0.111111,-0.111111
1.0958,state,0.270937,0.253234,0.047387,0.013305
1.1050,state,0.260758,0.236317,0.012106,-0.287648
1.1150,state,0.254326,0.231273,-0.163919,0.011010
1.1250,state,0.249097,0.231480,0.032963,0.012698
1.1256,desired,0.222221,0.222221,-0.111111,-0.111111
1.1351,state,0.240055,0.220639,-0.045364,-0.309838
1.1450,state,0.270937,0.253234,0.047387,0.013305
1.1554,desired,0.218887,0.218887,-0.111111,-0.111111
1.1556,state,0.260758,0.236317,0.012106,-0.287648
1.1652,state,0.254326,0.231273,-0.163919,0.011010
1.1750,state,0.249097,0.231480,0.032963,0.012698
1.1857,desired,0.215549,0.215549,-0.111111,-0.111111
1.1860,state,0.240055,0.220639,-0.045364,-0.309838
1.1866,state,0.237780,0.210069,0.040778,0.001227
1.1879,state,0.227604,0.210247,0.005491,0.011733
1.1952,state,0.254326,0.231273,-0.163919,0.011010
1.2051,state,0.249097,0.231480,0.032963,0.012698
1.2157,desired,0.212217,0.212217,-0.111111,-0.111111
1.2160,state,0.240055,0.220639,-0.045364,-0.309838
1.2250,state,0.237780,0.210069,0.040778,0.001227
1.2352,state,0.227604,0.210247,0.005491,0.011733
1.2450,state,0.254326,0.231273,-0.163919,0.011010
1.2457,desired,0.208887,0.208887,-0.111111,-0.111111
1.2551,state,0.249097,0.231480,0.032963,0.012698
1.2657,desired,0.206662,0.206662,-0.111111,-0.111111
1.2660,state,0.240055,0.220639,-0.045364,-0.309838
1.2752,state,0.237780,0.210069,0.040778,0.001227
1.2851,state,0.227604,0.210247,0.005491,0.011733
1.2951,state,0.254326,0.231273,-0.163919,0.011010
1.2960,desired,0.203328,0.203328,-0.111111,-0.111111
1.2967,state,0.221172,0.205751,-0.170521,-0.226001
1.2984,state,0.215944,0.188929,0.026324,-0.198632
1.3052,state,0.237780,0.210069,0.040778,0.001227
1.3150,state,0.227604,0.210247,0.005491,0.011733
1.3261,desired,0.199998,0.199998,-0.111111,-0.111111
1.3265,state,0.254326,0.231273,-0.163919,0.011010
1.3353,state,0.221172,0.205751,-0.170521,-0.226001
1.3451,state,0.215944,0.188929,0.026324,-0.198632
1.3561,desired,0.196662,0.196662,-0.111111,-0.111111
1.3567,state,0.237780,0.210069,0.040778,0.001227
1.3651,state,0.227604,0.210247,0.005491,0.011733
1.3752,state,0.254326,0.231273,-0.163919,0.011010
1.3851,state,0.221172,0.205751,-0.170521,-0.226001
1.3859,desired,0.193331,0.193331,-0.111111,-0.111111
1.3951,state,0.215944,0.188929,0.026324,-0.198632
1.3978,state,0.209526,0.188788,-0.192195,0.010996
1.3987,state,0.203829,0.188988,0.022286,0.010832
1.4052,state,0.254326,0.231273,-0.163919,0.011010
1.4066,desired,0.191106,0.191106,-0.111111,-0.111111
1.4151,state,0.221172,0.205751,-0.170521,-0.226001
1.4252,state,0.215944,0.188929,0.026324,-0.198632
